Dependent Variables,13
Independent Variables,35
Fluxs,32
Kinetic Orders > 0,84

Lx[13][14-48],Y1(X14),Y2(X15),Y3(X16),Y4(X17),Y5(X18),Y6(X19),Y7(X20),Y8(X21),Y9(X22),Y10(X23),Y11(X24),Y12(X25),Y13(X26),Y14(X27),Y15(X28),Y16(X29),Y17(X30),Y18(X31),Y19(X32),Y20(X33),Y21(X34),Y22(X35),Y23(X36),Y24(X37),Y25(X38),Y26(X39),Y27(X40),Y28(X41),Y29(X42),Y30(X43),Y31(X44),Y32(X45),Y33(X46),Y34(X47),Y35(X48)
X1,  1.328023839867133e-02, -8.391296179108711e-02,  6.972937567599643e-01,  5.265577850367875e-02,  3.352777024940466e-01, -3.493997473393140e-01,  3.791090603877521e-02, -3.703237167659945e-02, -1.181656977824175e-03,  1.179510758015770e-03,  1.740272528163334e-03,  0.000000000000000e+00,  0.000000000000000e+00,  4.302967947427459e-02,  8.627129756842578e-02,  2.400986020684800e-02, -8.955152628362276e-01,  8.396413440312558e-02, -4.291244441405389e-02, -8.401539263539011e-02,  1.084769041611165e-01,  4.527420957939443e-02,  1.565669678679496e-01,  1.252753721688855e-01,  1.199685665226941e-02,  8.017777012277906e-02, -8.438653110744487e-02, -3.526335228362660e-02, -1.216158232733689e-01, -9.744445537768917e-02, -9.325970146082153e-03, -6.237524782767719e-02,  1.365167320315157e-01, -1.161586438477545e-01,  3.739643104394090e-02
X2,  1.561566963889885e-02, -9.550793886898248e-02,  9.727446010137847e-01,  7.205540287097745e-02,  4.991689874422311e-01, -5.339260931802664e-01,  2.394518180615749e-02, -6.020150433400218e-02, -1.112503529495976e-01,  1.110482911705250e-01, -1.308896426122403e+00,  0.000000000000000e+00,  0.000000000000000e+00,  5.165096415818561e-02,  1.021946848635138e-01,  3.903151858390705e-02,  1.268772334761468e-01,  9.931930735712860e-02, -5.151024026789584e-02, -9.937993958017302e-02,  2.613521121954726e-01, -5.809342458369966e-02,  2.024046325245123e-01,  1.712047620063554e-01, -2.897442790726732e-02,  1.128538171362234e-01, -2.033114635445609e-01,  4.524803227905842e-02, -1.572209410070032e-01, -1.331702672516164e-01,  2.252378747993699e-02, -8.779596640554845e-02,  2.249444029116041e-01, -1.005304009239961e-01,  3.369515116714537e-02
X3, -2.012435073247113e-03,  4.793282221787624e-02, -3.419907206511503e-01, -2.951899407116310e-02, -5.318191695665762e-01,  6.711927384292730e-01,  1.937879630554249e-01,  1.666943269896151e-01,  7.510318250972194e-02, -7.496677410948248e-02, -1.106073993994159e-01,  0.000000000000000e+00,  0.000000000000000e+00,  5.221432143555894e-03, -8.154953560426201e-02, -1.080759159377389e-01, -9.263868445161717e-02, -6.640292383738752e-02, -5.207206266922199e-03,  6.644346134208874e-02, -1.583206020973529e-01,  1.069776807656572e+00, -1.190041897411356e-01, -7.082301089652321e-02,  4.148071576838789e-01, -1.487184874737702e-01,  1.231610223130483e-01, -8.332319168840085e-01,  9.243835213411643e-02,  5.508911772152705e-02, -3.224577304763624e-01,  1.156973123414198e-01, -1.841007650342538e-01,  2.085743024181593e-01, -8.965990323460286e-02
X4,  1.090557011663534e-02, -6.379185027748448e-02,  6.616534528842549e-01,  4.866977045098619e-02,  3.104407252678891e-01, -3.237014516411024e-01,  3.279537871942602e-02, -2.906766889937835e-02, -7.273338642292669e-02,  7.260128223566852e-02,  1.071173078545813e-01,  0.000000000000000e+00, -1.044016906995672e+00,  3.704136703941532e-02,  6.578759432365863e-02,  1.884596193049182e-02,  8.237960723196093e-02,  6.498581763807959e-02, -3.694044723363060e-02, -6.502549003103726e-02,  1.723458835312856e-01,  4.615401115945381e-02,  1.337681066516251e-01,  1.155841769107255e-01,  1.332486519743638e-02,  6.786015107262616e-02, -1.340715922372910e-01, -3.594861555703437e-02, -1.039064538305302e-01, -8.990623595322680e-02, -1.035832123645100e-02, -5.279260990043555e-02,  1.081073400154820e-01, -9.311353391863617e-02,  9.165665152107396e-01
X5,  2.618084178541615e-02,  4.489115981494873e-02,  3.841792944839925e-01,  4.366043516332761e-03, -1.853492778110811e+00,  2.571531769914257e+00,  1.173147661196996e+00, -1.932500648088237e+00,  1.631867581018867e-01, -1.628903652744582e-01, -2.403315322587655e-01,  0.000000000000000e+00,  0.000000000000000e+00,  1.549532306974133e-01, -2.221840017940336e-01, -5.275856187889083e-01, -2.263134867473360e-01, -1.419691396921566e-01, -1.545310581050503e-01,  1.420558086870609e-01, -2.791188898661925e-01,  2.329347411367670e+00, -1.954031341788355e-01,  6.429219462135633e-03,  2.317133065890237e+00, -5.829625900247712e-01,  2.171326243546302e-01, -1.814291163139297e+00,  1.517824184562263e-01, -5.000917404155574e-03, -1.801264649845119e+00,  4.535226655889357e-01, -3.230968895792492e+00, -1.781987183639363e+00,  2.255861519227711e+00
X6, -3.070144671923460e-02, -1.180391746983508e-01, -2.499620833956750e-01,  1.834790606944847e-02,  2.246315127141304e-01, -2.707653299390920e-01, -8.669737702301576e-02,  8.637535470699974e-02, -3.806366193466843e-02,  3.799452767086954e-02,  5.605784625261663e-02,  0.000000000000000e+00,  1.110223024625157e-16, -2.035132174871149e-01,  9.065513687387122e-02, -5.600127936559983e-02,  5.076372744019221e-02,  3.330174772019684e-02,  2.029587424224779e-01, -3.332207769479362e-02,  9.698480216191399e-02, -9.956329738647096e-02,  3.692987352507534e-01,  4.963063361408857e-02, -2.576008564332088e-02,  8.950036888194191e-01, -7.544657628162074e-02,  7.754824795122499e-02, -2.868585266287719e-01, -3.860479501154226e-02,  2.002506128342250e-02, -6.962787417423569e-01,  1.246354105648642e-01, -3.396736397913484e-02, -9.492844871814314e-03
X7, -1.503643194266809e-02,  1.511815851451094e-01,  2.860626877263346e-01,  6.786386770775713e-03,  8.928049041372474e-02, -1.087126200292700e-01, -4.636228443285331e-02,  3.915408276977914e-02,  1.496609384052493e-01, -1.493891122521624e-01, -2.204115276544763e-01,  0.000000000000000e+00, -5.551115123125785e-17, -2.999124902548982e-02, -1.493186609426519e-01, -2.538546712696196e-02, -1.497269417358411e-01, -1.355478199419925e-01,  2.990953738067733e-02,  1.356305688643381e-01,  8.738217862026558e-01, -6.981203994224933e-02, -1.050930116388764e-01,  1.376626088991764e-02, -2.076188357569718e-02, -5.125309941268777e-02, -6.797648763485368e-01,  5.437547294569637e-02,  8.163262854728927e-02, -1.070797692939028e-02,  1.613961990341510e-02,  3.987295696684270e-02,  2.448527172678102e-01,  1.912040367279921e-01, -1.991537192882608e-01
X8, -9.097603205322670e-03,  3.317905270586971e-02, -6.675523309658506e-03,  1.535001886959391e-04, -1.353716055195605e-01,  1.874560543949396e-01, -2.318734914627022e-01, -1.408560087372620e-01,  1.232931330647952e-02, -1.230691982263520e-02, -1.815786276478735e-02,  0.000000000000000e+00,  0.000000000000000e+00, -3.758125471652617e-02,  3.659304898550232e-04,  9.132369670002113e-02, -1.518141571204662e-02, -1.090349562845530e-02,  3.747886397800125e-02,  1.091015196946794e-02, -1.737821170632466e-02,  1.697170420821506e-01,  6.016715376673189e-03,  4.708140088037750e-04,  8.482485222788322e-01,  9.388300452422750e-02,  1.351888693808419e-02, -1.321898692230687e-01, -4.673577089088139e-03, -3.662189453344535e-04, -6.594010935134610e-01, -7.303739758586660e-02, -2.114570441935553e-01, -1.010125057270816e-01,  1.395911829903133e-01
X9,  1.044577922403372e-02, -6.110231534569290e-02,  6.337574118299196e-01,  4.661779912266117e-02,  2.973522010876554e-01, -3.100538405767832e-01,  3.141268929619160e-02, -2.784214384326904e-02, -6.966686644206636e-02,  6.954033191338875e-02,  1.026011237335500e-01, -1.000000000000000e+00,  0.000000000000000e+00,  3.547966205452348e-02,  6.301391661651642e-02,  1.805139534064073e-02,  7.890639191756145e-02,  6.224594372239318e-02, -3.538299713932096e-02, -6.228394348340459e-02,  1.650795905472823e-01,  4.420810702411847e-02,  1.281282953899324e-01,  1.107110202298713e-01,  1.276307414961395e-02,  6.499909208166442e-02, -1.284189856877928e-01, -3.443298218271421e-02, -9.952564286486301e-02, -8.611568965099098e-02, -9.921602961640488e-03, -5.056681510298033e-02,  1.383425603880577e-01, -8.918776438840004e-02,  1.586805261460070e-02
X10,  9.223139462367090e-02, -9.158484593841514e-01, -1.540270109018800e-01,  6.773377066268349e-02,  2.512302392010408e-01, -2.005621738075372e-01,  2.652491918306416e-01, -2.556098790490313e-01, -9.265988073455418e-02,  9.249158445635396e-02,  1.364638367406381e-01,  0.000000000000000e+00,  2.220446049250314e-16,  1.877893089510305e-01, -3.713173557786344e-02,  1.657241269085285e-01,  8.818235037739598e-02,  8.433969359408848e-02, -1.872776739304434e-01, -8.439118109686684e-02,  2.045829338883767e-01,  3.249924049133370e-01,  8.724673960451406e-01,  1.738946845091866e-01,  8.740567059489042e-02,  5.671178987516187e-01, -1.591494912961585e-01, -2.531313471936998e-01, -6.777025964933620e-01, -1.352626021515934e-01, -6.794635446544577e-02, -4.411960999660394e-01, -9.135133126365909e-01, -1.131143707124942e+00,  1.046417462628322e+00
X11,  4.115662969543531e-02,  3.057326269516002e-02, -7.020464741624470e-01,  3.475435724417986e-02,  1.620299798907423e-01, -1.486949107409264e-01,  1.186353188320593e-01, -1.138413573047555e-01, -5.310648107347782e-02,  5.301002483975373e-02,  7.821199537091907e-02,  0.000000000000000e+00,  0.000000000000000e+00,  2.302530590423499e-01, -3.199767187669649e-03,  7.380880432165725e-02,  5.294411475001205e-02,  4.811568211250443e-02, -2.296257308453326e-01, -4.814505566380488e-02,  1.193681168026161e-01,  1.464927672696410e-01,  8.454658174813571e-01,  9.678185474251166e-02,  3.957233157450317e-02,  4.378415220300995e-01, -9.285904109910756e-02, -1.141008558122633e-01, -6.567287010961880e-01, -7.528099867157291e-02, -3.076225661201581e-02, -3.406240084259433e-01,  5.480621051290828e-02, -8.147358394711597e-02,  3.046863494172644e-02
X12,  6.240603868626259e-03,  7.564240146303856e-04,  1.085119634568115e+00, -4.347788270211922e-01, -4.502854003624141e-01, -3.193093691143249e-01,  1.802877226898192e-02, -1.722951602511395e-02, -9.779525093242543e-03,  9.761762738459532e-03,  1.440268976331147e-02,  0.000000000000000e+00,  2.775557561562893e-17,  3.361993800119767e-02,  3.116497745362045e-03,  1.117072043905938e-02, -3.866601705263748e-03,  1.011920518555084e-02, -3.352833993436701e-02, -1.012538273473206e-02,  5.292242620199526e-03,  2.242877429755336e-02,  1.233511356961456e-01,  1.682194047557096e-01,  6.083957279792006e-03,  6.381819538606369e-02, -4.116950054495509e-03, -1.746941087856211e-02, -9.581490989877377e-02, -1.308481307745054e-01, -4.729472528176478e-03, -4.964812250359542e-02, -3.476250613916835e-01, -1.616010036149868e-02,  1.148527298302533e-01
X13,  6.039120497457410e-03, -1.462631475341341e-03,  1.008567450717829e+00,  6.655135607527285e-02, -7.043782682739057e-01, -4.768824309967341e-01,  1.746934264601688e-02, -1.665496461891831e-02, -1.044074578912482e-02,  1.042178247248751e-02,  1.537649538854105e-02,  0.000000000000000e+00,  2.775557561562893e-17,  3.180275814146651e-02,  5.053393142041815e-03,  1.079821124453966e-02, -1.047065568856007e-02,  1.138972721499213e-02, -3.171611101066163e-02, -1.139668038954893e-02, -2.124045211660930e-03,  2.182682991083463e-02,  1.166264361789946e-01,  1.567914098882558e-01,  5.934814429166041e-03,  6.030277371278617e-02,  1.652340732928965e-03, -1.700056609560040e-02, -9.059139513585064e-02, -1.219589555388749e-01, -4.613533677462927e-03, -4.691325849136749e-02, -5.377586330878280e-01, -1.779157828230438e-02,  1.735046145969125e-01

Lv[32][14-48],Y1(X14),Y2(X15),Y3(X16),Y4(X17),Y5(X18),Y6(X19),Y7(X20),Y8(X21),Y9(X22),Y10(X23),Y11(X24),Y12(X25),Y13(X26),Y14(X27),Y15(X28),Y16(X29),Y17(X30),Y18(X31),Y19(X32),Y20(X33),Y21(X34),Y22(X35),Y23(X36),Y24(X37),Y25(X38),Y26(X39),Y27(X40),Y28(X41),Y29(X42),Y30(X43),Y31(X44),Y32(X45),Y33(X46),Y34(X47),Y35(X48)
v1,  9.871479747204431e-01, -4.941273520673462e-02, -1.046373822090674e-01,  7.680672340556137e-03,  9.403367555895535e-02, -1.133458920365649e-01, -3.629265068062672e-02,  3.615784794693579e-02, -1.593394441280107e-02,  1.590500390995922e-02,  2.346654422329749e-02,  0.000000000000000e+00,  4.647538114055400e-17, -8.519328225108226e-02,  3.794942047778881e-02, -2.344286458798342e-02,  2.125035716760321e-02,  1.394054513024781e-02,  8.496117177066198e-02, -1.394905552227722e-02,  4.059910076930720e-02, -4.167849243811936e-02,  1.545932582446498e-01,  2.077602934095816e-02, -1.078350720469757e-02,  3.746601956316675e-01, -3.158291902315815e-02,  3.246270614440021e-02, -1.200827136781022e-01, -1.616046976345269e-02,  8.382751346957823e-03, -2.914713457097236e-01,  4.796644330796269e-01, -1.421918076148000e-02, -3.715364787234697e-01
v2,  5.101712827978847e-02,  6.969253283818122e-02,  5.257074496347663e-01,  3.309734580578153e-02,  9.080966099322904e-02, -5.383648872316557e-02,  1.464577588718396e-01, -1.416010023304471e-01, -3.991154579401071e-02,  3.983905525591482e-02,  5.877929721173612e-02,  0.000000000000000e+00,  2.184000231449256e-16, -3.739914128145846e-02, -3.343571366494887e-02,  9.180671172761858e-02,  3.566412983719217e-02,  3.654213594171857e-02,  3.729724671394363e-02, -3.656444410108755e-02,  8.608039120845488e-02,  1.783485808112238e-01,  4.259583814828449e-02,  7.768295390860100e-02,  4.779885407981050e-02,  1.354597884384897e-01, -6.696379903748292e-02, -1.389128356487843e-01, -3.308697865817989e-02, -6.042507002532654e-02, -3.715729037080095e-02, -1.053825500708831e-01,  1.661458163703000e-02, -6.936275033463057e-02,  3.215854003647678e-02
v3,  4.874557729513526e-03,  3.657670263238619e-03,  9.056090618053571e-01,  8.267638022760898e-03,  2.367040917199484e-02, -1.481168478337009e-02,  1.405069298995400e-02, -1.348358258133294e-02, -6.273596508702174e-03,  6.262201901511071e-03,  9.239371375759949e-03,  0.000000000000000e+00, -2.618423955876685e-19,  2.728318734876021e-02, -4.129555932419440e-04,  8.742052377646213e-03,  6.382869453261318e-03,  5.672146692635487e-03, -2.720885386194544e-02, -5.675609411743786e-03,  1.425868794608841e-02,  1.734844652288755e-02,  1.001820125885448e-01,  1.001424754159640e-02,  4.686126252940479e-03,  5.188185720314898e-02, -1.109214190079403e-02, -1.351242544030348e-02, -7.781793378290866e-02, -7.789503082798189e-03, -3.642843688344613e-03, -4.036210655211483e-02,  9.849049643013126e-03, -9.613757676390564e-03,  2.568759251493646e-03
v4,  4.125727447852896e-03,  3.480971901339036e-03,  7.737763650645555e-01,  5.069068486935302e-02,  6.718316795724588e-02,  1.692972095332101e-02,  1.188824886773174e-02, -1.141544129796384e-02, -5.138373280354517e-03,  5.129040556286322e-03,  7.567483649709321e-03,  0.000000000000000e+00,  1.713233841531059e-17,  2.322037055354109e-02, -7.071337972899498e-04,  7.401177330934565e-03,  6.583360562692576e-03,  4.520451234451129e-03, -2.315710627703588e-02, -4.523210869156632e-03,  1.333995441072858e-02,  1.466192958863692e-02,  8.527333710675025e-02,  1.193569319979447e-01,  3.957943907724474e-03,  4.416713365442944e-02, -1.037743920291887e-02, -1.141994069129252e-02, -6.623738861859821e-02, -9.284084359703296e-02, -3.076778175583494e-03, -3.436034580800199e-02,  4.367741880751086e-02, -7.758965910224343e-03, -8.771037332804571e-03
v5,  4.811677786417430e-03,  1.405544403676556e-03,  8.520214776707670e-01,  5.600983538767349e-02,  3.787562623868312e-01, -4.022350350853564e-01,  1.393480553590666e-02, -1.325688352076889e-02, -9.012497521472814e-03,  8.996128303445242e-03,  1.327305820648476e-02,  0.000000000000000e+00,  2.405881279445405e-17,  2.619607651495356e-02,  1.631830213788925e-03,  8.595072519032241e-03,  1.945399143980877e-02,  7.197731976129619e-03, -2.612470487925238e-02, -7.202126031044051e-03, -5.297090187064866e-03,  1.747733325535586e-02,  9.610493162655630e-02,  1.319172491863511e-01,  4.762151265362173e-03,  4.971668296109588e-02,  4.120721081657843e-03, -1.361281323931619e-02, -7.465099784171698e-02, -1.026107867758510e-01, -3.701943085524301e-03, -3.867768355392775e-02,  2.712429752933390e-01, -1.172124188315631e-02, -7.509701918644651e-02
v6,  3.015467087213510e-03,  6.840201793779250e-03,  6.471309768251696e-01,  4.208125406839528e-02, -4.371204772757782e-01,  6.953782718800742e-01,  8.575748506216023e-03, -8.434933538952371e-03,  1.132177713332534e-03, -1.130121361717308e-03, -1.667402476765592e-03,  0.000000000000000e+00,  1.455659658399562e-17,  1.840397468909929e-02, -4.492916645502189e-03,  5.468771400678949e-03, -1.424868875036300e-02,  1.870782267064915e-04, -1.835383276131043e-02, -1.871924337934127e-04,  4.350536244842988e-02,  1.010499461153903e-02,  6.774161598678421e-02,  9.902714789064582e-02,  2.656275986999759e-03,  3.518478570851331e-02, -3.384376287271530e-02, -7.870617469002221e-03, -5.261935202736748e-02, -7.702748215188725e-02, -2.064903438671040e-03, -2.737242161975161e-02, -3.246539349487770e-01, -1.345734946790409e-03,  9.858237353756312e-02
v7, -9.097603205322670e-03,  3.317905270586971e-02, -6.675523309658506e-03,  1.535001886959391e-04, -1.353716055195605e-01,  1.874560543949396e-01,  7.681265085372977e-01, -1.408560087372620e-01,  1.232931330647952e-02, -1.230691982263520e-02, -1.815786276478735e-02,  0.000000000000000e+00,  0.000000000000000e+00, -3.758125471652617e-02,  3.659304898550232e-04,  9.132369670002113e-02, -1.518141571204662e-02, -1.090349562845530e-02,  3.747886397800125e-02,  1.091015196946794e-02, -1.737821170632466e-02,  1.697170420821506e-01,  6.016715376673189e-03,  4.708140088037750e-04,  8.482485222788322e-01,  9.388300452422750e-02,  1.351888693808419e-02, -1.321898692230687e-01, -4.673577089088139e-03, -3.662189453344535e-04, -6.594010935134610e-01, -7.303739758586660e-02, -2.114570441935553e-01, -1.010125057270816e-01,  1.395911829903133e-01
v8,  1.144225062675374e-02, -2.912053828888609e-02,  4.642901257667031e-01,  2.959023649089920e-02, -1.704602881557480e-01,  2.997193583584825e-01,  2.433646870676700e-01,  1.381912741091876e-01, -1.181764732143522e-02,  1.179618316623110e-02,  1.740431222171233e-02,  0.000000000000000e+00,  0.000000000000000e+00,  5.147097509316428e-02, -3.550550836128749e-03, -8.959602161436510e-02,  5.464437173760300e-03,  1.129103111172634e-02, -5.133074158600390e-02, -1.129792403451232e-02,  4.853913322726337e-02, -1.665474766995427e-01,  4.172910869471849e-02,  6.952067028973294e-02,  4.502800548426175e-01, -7.120893630983197e-02, -3.775964208867141e-02,  1.297211458215728e-01, -3.241373309759905e-02, -5.407610240217248e-02, -3.500332187468552e-01,  5.539783711955763e-02, -1.309057462879770e-02,  1.024262634973891e-01, -7.317141154215345e-02
v9,  1.561566963889884e-02, -9.550793886898246e-02,  9.727446010137843e-01,  7.205540287097742e-02,  4.991689874422309e-01, -5.339260931802662e-01,  2.394518180615749e-02, -6.020150433400216e-02,  8.887496470504024e-01,  1.110482911705250e-01, -1.308896426122403e+00,  0.000000000000000e+00,  0.000000000000000e+00,  5.165096415818560e-02,  1.021946848635138e-01,  3.903151858390703e-02,  1.268772334761467e-01,  9.931930735712857e-02, -5.151024026789582e-02, -9.937993958017299e-02,  2.613521121954725e-01, -5.809342458369964e-02,  2.024046325245122e-01,  1.712047620063554e-01, -2.897442790726731e-02,  1.128538171362233e-01, -2.033114635445608e-01,  4.524803227905841e-02, -1.572209410070032e-01, -1.331702672516163e-01,  2.252378747993698e-02, -8.779596640554842e-02,  2.249444029116041e-01, -1.005304009239961e-01,  3.369515116714535e-02
v10, -1.503643194266809e-02,  1.511815851451094e-01,  2.860626877263346e-01,  6.786386770775713e-03,  8.928049041372474e-02, -1.087126200292700e-01, -4.636228443285331e-02,  3.915408276977914e-02,  1.496609384052493e-01,  8.506108877478378e-01, -2.204115276544763e-01,  0.000000000000000e+00, -5.551115123125785e-17, -2.999124902548982e-02, -1.493186609426519e-01, -2.538546712696196e-02, -1.497269417358411e-01, -1.355478199419925e-01,  2.990953738067733e-02,  1.356305688643381e-01,  8.738217862026558e-01, -6.981203994224933e-02, -1.050930116388764e-01,  1.376626088991764e-02, -2.076188357569718e-02, -5.125309941268777e-02, -6.797648763485368e-01,  5.437547294569637e-02,  8.163262854728927e-02, -1.070797692939028e-02,  1.613961990341510e-02,  3.987295696684270e-02,  2.448527172678102e-01,  1.912040367279921e-01, -1.991537192882608e-01
